time,robot1,human1,human2,human3,human4,human5,human6
0,"{""px"": 2.0, ""py"": 0.7, ""vx"": 0, ""vy"": 0, ""radius"": 0.4, ""gx"": -4.9, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -7.1, ""py"": -1.2, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": -4.5, ""gy"": -0.5, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.9, ""py"": 3.4, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 0.3, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.7, ""py"": -6.6, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 0.7, ""gy"": 6.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 7.2, ""py"": -0.9, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 5.8, ""gy"": 1.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.1, ""py"": -7.1, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 5.1, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0, ""py"": -0.2, ""vx"": 0, ""vy"": 0, ""radius"": 0.5, ""gx"": 6.0, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 0}"
0.25,"{""px"": 1.9160366728901863, ""py"": 0.7615000016987323, ""vx"": -0.16792665421962738, ""vy"": 0.12300000339746475, ""radius"": 0.4, ""gx"": -4.9, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -7.049967674911022, ""py"": -1.15074113458395, ""vx"": 0.20012930035591125, ""vy"": 0.19703546166419983, ""radius"": 0.5, ""gx"": -4.5, ""gy"": -0.5, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.8641319885849953, ""py"": 3.3234338849782943, ""vx"": 0.14347204566001892, ""vy"": -0.3062644600868225, ""radius"": 0.5, ""gx"": 0.3, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6710016194730997, ""py"": -6.537983080744743, ""vx"": 0.11599352210760117, ""vy"": 0.2480676770210266, ""radius"": 0.5, ""gx"": 0.7, ""gy"": 6.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 7.141432245075703, ""py"": -0.8630209133028984, ""vx"": -0.23427101969718933, ""vy"": 0.14791634678840637, ""radius"": 0.5, ""gx"": 5.8, ""gy"": 1.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0915895517915488, ""py"": -7.074004667252302, ""vx"": -0.033641792833805084, ""vy"": 0.10398133099079132, ""radius"": 0.5, ""gx"": 5.1, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0345980674028397, ""py"": -0.22254600264132024, ""vx"": 0.13839226961135864, ""vy"": -0.09018401056528091, ""radius"": 0.5, ""gx"": 6.0, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 0}"
0.5,"{""px"": 1.4166537001729012, ""py"": 0.7352150928229093, ""vx"": -0.9987659454345703, ""vy"": -0.05256981775164604, ""radius"": 0.4, ""gx"": -4.9, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -6.9293121010065075, ""py"": -1.0916465789079666, ""vx"": 0.48262229561805725, ""vy"": 0.23637822270393372, ""radius"": 0.5, ""gx"": -4.5, ""gy"": -0.5, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.8310629405081272, ""py"": 3.075630658864975, ""vx"": 0.13227619230747223, ""vy"": -0.9912129044532776, ""radius"": 0.5, ""gx"": 0.3, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6213864374905824, ""py"": -6.367215222120285, ""vx"": 0.19846072793006897, ""vy"": 0.6830714344978333, ""radius"": 0.5, ""gx"": 0.7, ""gy"": 6.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 7.05817801207304, ""py"": -0.7976633176207543, ""vx"": -0.33301693201065063, ""vy"": 0.26143038272857666, ""radius"": 0.5, ""gx"": 5.8, ""gy"": 1.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0830374997109176, ""py"": -7.029010849446058, ""vx"": -0.034208208322525024, ""vy"": 0.17997527122497559, ""radius"": 0.5, ""gx"": 5.1, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.1323236599564552, ""py"": -0.21682097092270852, ""vx"": 0.3909023702144623, ""vy"": 0.02290012687444687, ""radius"": 0.5, ""gx"": 6.0, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 0}"
0.75,"{""px"": 0.8296258524060249, ""py"": 0.6854357745498418, ""vx"": -1.1740556955337524, ""vy"": -0.09955863654613495, ""radius"": 0.4, ""gx"": -4.9, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -6.693861803412437, ""py"": -1.017165970802307, ""vx"": 0.9418011903762817, ""vy"": 0.29792243242263794, ""radius"": 0.5, ""gx"": -4.5, ""gy"": -0.5, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.7979938924312592, ""py"": 2.8278274327516555, ""vx"": 0.13227619230747223, ""vy"": -0.9912129044532776, ""radius"": 0.5, ""gx"": 0.3, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5948261346668005, ""py"": -6.118630132079124, ""vx"": 0.10624121129512787, ""vy"": 0.9943403601646423, ""radius"": 0.5, ""gx"": 0.7, ""gy"": 6.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.946016710996628, ""py"": -0.7214528858661652, ""vx"": -0.4486452043056488, ""vy"": 0.3048417270183563, ""radius"": 0.5, ""gx"": 5.8, ""gy"": 1.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0762487197294832, ""py"": -6.963047923892736, ""vx"": -0.02715511992573738, ""vy"": 0.26385170221328735, ""radius"": 0.5, ""gx"": 5.1, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.3179133906960487, ""py"": -0.19594177305698396, ""vx"": 0.742358922958374, ""vy"": 0.08351679146289825, ""radius"": 0.5, ""gx"": 6.0, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 0}"
1.0,"{""px"": 0.291791208088398, ""py"": 0.5913730513304472, ""vx"": -1.075669288635254, ""vy"": -0.18812544643878937, ""radius"": 0.4, ""gx"": -4.9, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -6.450531354546547, ""py"": -0.9598049156367778, ""vx"": 0.973321795463562, ""vy"": 0.229444220662117, ""radius"": 0.5, ""gx"": -4.5, ""gy"": -0.5, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.7620560504496098, ""py"": 2.58447907269001, ""vx"": 0.1437513679265976, ""vy"": -0.973393440246582, ""radius"": 0.5, ""gx"": 0.3, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5682658318430185, ""py"": -5.8700450420379635, ""vx"": 0.10624121129512787, ""vy"": 0.9943403601646423, ""radius"": 0.5, ""gx"": 0.7, ""gy"": 6.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.777578336000443, ""py"": -0.6162615656852722, ""vx"": -0.6737534999847412, ""vy"": 0.4207652807235718, ""radius"": 0.5, ""gx"": 5.8, ""gy"": 1.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0615190317854286, ""py"": -6.864041762799024, ""vx"": -0.058918751776218414, ""vy"": 0.3960246443748474, ""radius"": 0.5, ""gx"": 5.1, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.5669876262545586, ""py"": -0.21743656769394876, ""vx"": 0.9962969422340393, ""vy"": -0.08597917854785919, ""radius"": 0.5, ""gx"": 6.0, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 0}"
1.25,"{""px"": -0.23362617939710617, ""py"": 0.5298775535076856, ""vx"": -1.0508347749710083, ""vy"": -0.12299099564552307, ""radius"": 0.4, ""gx"": -4.9, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -6.207200905680656, ""py"": -0.9024438604712486, ""vx"": 0.973321795463562, ""vy"": 0.229444220662117, ""radius"": 0.5, ""gx"": -4.5, ""gy"": -0.5, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.7290926143527031, ""py"": 2.3366617798805236, ""vx"": 0.13185374438762665, ""vy"": -0.9912691712379456, ""radius"": 0.5, ""gx"": 0.3, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5417055290192365, ""py"": -5.621459951996803, ""vx"": 0.10624121129512787, ""vy"": 0.9943403601646423, ""radius"": 0.5, ""gx"": 0.7, ""gy"": 6.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.589356225728989, ""py"": -0.47301689684391024, ""vx"": -0.7528884410858154, ""vy"": 0.572978675365448, ""radius"": 0.5, ""gx"": 5.8, ""gy"": 1.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0468008857220412, ""py"": -6.736183720082044, ""vx"": -0.058872584253549576, ""vy"": 0.5114321708679199, ""radius"": 0.5, ""gx"": 5.1, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.8160618618130684, ""py"": -0.23893136233091355, ""vx"": 0.9962969422340393, ""vy"": -0.08597917854785919, ""radius"": 0.5, ""gx"": 6.0, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 0}"
1.5,"{""px"": -0.7330205664038658, ""py"": 0.5052761033177375, ""vx"": -0.9987887740135193, ""vy"": -0.049202900379896164, ""radius"": 0.4, ""gx"": -4.9, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -5.963870456814766, ""py"": -0.8450828053057193, ""vx"": 0.973321795463562, ""vy"": 0.229444220662117, ""radius"": 0.5, ""gx"": -4.5, ""gy"": -0.5, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6961291782557965, ""py"": 2.088844487071037, ""vx"": 0.13185374438762665, ""vy"": -0.9912691712379456, ""radius"": 0.5, ""gx"": 0.3, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5151452261954546, ""py"": -5.372874861955642, ""vx"": 0.10624121129512787, ""vy"": 0.9943403601646423, ""radius"": 0.5, ""gx"": 0.7, ""gy"": 6.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.413844925165177, ""py"": -0.35003952831029894, ""vx"": -0.702045202255249, ""vy"": 0.4919094741344452, ""radius"": 0.5, ""gx"": 5.8, ""gy"": 1.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.041972177475691, ""py"": -6.597713234275579, ""vx"": -0.019314832985401154, ""vy"": 0.5538819432258606, ""radius"": 0.5, ""gx"": 5.1, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 2.065136097371578, ""py"": -0.26042615696787835, ""vx"": 0.9962969422340393, ""vy"": -0.08597917854785919, ""radius"": 0.5, ""gx"": 6.0, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 0}"
1.75,"{""px"": -1.2324149534106255, ""py"": 0.48067465312778945, ""vx"": -0.9987887740135193, ""vy"": -0.049202900379896164, ""radius"": 0.4, ""gx"": -4.9, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -5.720540007948875, ""py"": -0.7877217501401901, ""vx"": 0.973321795463562, ""vy"": 0.229444220662117, ""radius"": 0.5, ""gx"": -4.5, ""gy"": -0.5, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6631657421588898, ""py"": 1.8410271942615508, ""vx"": 0.13185374438762665, ""vy"": -0.9912691712379456, ""radius"": 0.5, ""gx"": 0.3, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.4885849233716726, ""py"": -5.124289771914482, ""vx"": 0.10624121129512787, ""vy"": 0.9943403601646423, ""radius"": 0.5, ""gx"": 0.7, ""gy"": 6.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.243223187327385, ""py"": -0.2366649001836777, ""vx"": -0.6824869513511658, ""vy"": 0.453498512506485, ""radius"": 0.5, ""gx"": 5.8, ""gy"": 1.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0390278870705516, ""py"": -6.445570798963308, ""vx"": -0.011777161620557308, ""vy"": 0.6085697412490845, ""radius"": 0.5, ""gx"": 5.1, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 2.314210332930088, ""py"": -0.28192095160484315, ""vx"": 0.9962969422340393, ""vy"": -0.08597917854785919, ""radius"": 0.5, ""gx"": 6.0, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 0}"
2.0,"{""px"": -1.731809340417385, ""py"": 0.45607320293784137, ""vx"": -0.9987887740135193, ""vy"": -0.049202900379896164, ""radius"": 0.4, ""gx"": -4.9, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -5.477209559082985, ""py"": -0.7303606949746608, ""vx"": 0.973321795463562, ""vy"": 0.229444220662117, ""radius"": 0.5, ""gx"": -4.5, ""gy"": -0.5, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.6302023060619831, ""py"": 1.5932099014520644, ""vx"": 0.13185374438762665, ""vy"": -0.9912691712379456, ""radius"": 0.5, ""gx"": 0.3, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.4620246205478906, ""py"": -4.875704681873321, ""vx"": 0.10624121129512787, ""vy"": 0.9943403601646423, ""radius"": 0.5, ""gx"": 0.7, ""gy"": 6.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 6.08160252571106, ""py"": -0.13240441083908083, ""vx"": -0.6464826464653015, ""vy"": 0.41704195737838745, ""radius"": 0.5, ""gx"": 5.8, ""gy"": 1.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.0414370560552926, ""py"": -6.243256645649671, ""vx"": 0.00963667593896389, ""vy"": 0.8092566132545471, ""radius"": 0.5, ""gx"": 5.1, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 2.563284568488598, ""py"": -0.30341574624180795, ""vx"": 0.9962969422340393, ""vy"": -0.08597917854785919, ""radius"": 0.5, ""gx"": 6.0, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 0}"
2.25,"{""px"": -2.231203757226467, ""py"": 0.4314717527478933, ""vx"": -0.9987888336181641, ""vy"": -0.049202900379896164, ""radius"": 0.4, ""gx"": -4.9, ""gy"": 0.3, ""v_pref"": 1.5, ""theta"": 1.5707963267948966}","{""px"": -5.233879110217094, ""py"": -0.6729996398091316, ""vx"": 0.973321795463562, ""vy"": 0.229444220662117, ""radius"": 0.5, ""gx"": -4.5, ""gy"": -0.5, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.5972388699650765, ""py"": 1.345392608642578, ""vx"": 0.13185374438762665, ""vy"": -0.9912691712379456, ""radius"": 0.5, ""gx"": 0.3, ""gy"": -5.4, ""v_pref"": 1.5, ""theta"": 0}","{""px"": -0.43546431772410865, ""py"": -4.627119591832161, ""vx"": 0.10624121129512787, ""vy"": 0.9943403601646423, ""radius"": 0.5, ""gx"": 0.7, ""gy"": 6.0, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 5.932991501688957, ""py"": -0.0381117179989815, ""vx"": -0.5944440960884094, ""vy"": 0.37717077136039734, ""radius"": 0.5, ""gx"": 5.8, ""gy"": 1.1, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 1.04580556335859, ""py"": -6.0435974471271035, ""vx"": 0.01747402921319008, ""vy"": 0.798636794090271, ""radius"": 0.5, ""gx"": 5.1, ""gy"": -1.2, ""v_pref"": 1.5, ""theta"": 0}","{""px"": 2.8123588040471077, ""py"": -0.3249105427414179, ""vx"": 0.9962969422340393, ""vy"": -0.08597918599843979, ""radius"": 0.5, ""gx"": 6.0, ""gy"": -0.6, ""v_pref"": 1.5, ""theta"": 0}"
